"","eta","max_depth","gamma","colsample_bytree","min_child_weight","subsample","nrounds","Accuracy","Kappa","AccuracySD","KappaSD"
"291",0.3,18,0,0.75,0,1,200,0.830441575822989,0.64483359736793,0.0131600541178093,0.0272830998214399
"293",0.3,18,0,0.75,1,0.5,200,0.81942376087171,0.622484635557233,0.0103112637947423,0.0214265506897012
"295",0.3,18,0,0.75,1,1,200,0.827635172814881,0.639946029296792,0.0133619625253723,0.0274184463698236
"297",0.3,18,0,0.75,2,0.5,200,0.818053395485656,0.620250102329071,0.0117680421477943,0.0244270390562589
"299",0.3,18,0,0.75,2,1,200,0.824624168472159,0.633593096217874,0.0111276656809283,0.0229768522313989
"301",0.3,18,0,1,0,0.5,200,0.829893900507908,0.644021572276376,0.0122914870303229,0.0257795561710301
"303",0.3,18,0,1,0,1,200,0.831674661985329,0.64794444954405,0.0134458130986915,0.0278103679375634
"305",0.3,18,0,1,1,0.5,200,0.826129669994176,0.636780947719989,0.0116069885836115,0.0233111727189001
"307",0.3,18,0,1,1,1,200,0.827806429324577,0.640226803852722,0.0113032047531781,0.0238038166919345
"309",0.3,18,0,1,2,0.5,200,0.821577430584359,0.627382398085535,0.0130714111341853,0.0271303743356994
"311",0.3,18,0,1,2,1,200,0.82671146458513,0.638023702539969,0.0101659052915954,0.0212009430466535
"313",0.3,18,0.01,0.75,0,0.5,200,0.823119227983365,0.629886725163533,0.0116696790147464,0.0237667210166594
"315",0.3,18,0.01,0.75,0,1,200,0.829620606766161,0.643615773607663,0.0134092961325583,0.0276439955187574
"317",0.3,18,0.01,0.75,1,0.5,200,0.821065734013868,0.625849958761621,0.0134758966509287,0.0281416273048178
"319",0.3,18,0.01,0.75,1,1,200,0.826439365203462,0.636916290653834,0.0133227538812959,0.0276762410751466
"321",0.3,18,0.01,0.75,2,0.5,200,0.816001306407995,0.615957745063519,0.0135664084458098,0.0280704168326819
"323",0.3,18,0.01,0.75,2,1,200,0.825650687302675,0.635545213081638,0.0118914169092361,0.0246963305925885
"325",0.3,18,0.01,1,0,0.5,200,0.828695807530251,0.641951060184058,0.0152053850327034,0.0314788723308245
"327",0.3,18,0.01,1,0,1,200,0.830921366767407,0.646423523558791,0.0113174897091601,0.0236985705458671
"329",0.3,18,0.01,1,1,0.5,200,0.823426920796102,0.631341887221313,0.0142853230648793,0.0296934507672498
"331",0.3,18,0.01,1,1,1,200,0.829346260004881,0.64341533922359,0.011610182716961,0.0240594971434527
"333",0.3,18,0.01,1,2,0.5,200,0.82062093877936,0.625461080650517,0.0139659916529656,0.0287652621520816
"335",0.3,18,0.01,1,2,1,200,0.827430256079452,0.639642075799284,0.00900999150114827,0.0184183619615857
"337",0.3,18,0.1,0.75,0,0.5,200,0.821510179251955,0.62678312540399,0.0114501119144506,0.0237883552538606
"339",0.3,18,0.1,0.75,0,1,200,0.82636982965921,0.636982604285414,0.0110935082595613,0.0230507429961665
"341",0.3,18,0.1,0.75,1,0.5,200,0.818671062797752,0.621117998404288,0.0131795631315436,0.0270401185122357
"343",0.3,18,0.1,0.75,1,1,200,0.827293397702805,0.639051795771248,0.01248148976729,0.0256553399484015
"345",0.3,18,0.1,0.75,2,0.5,200,0.816925681550118,0.617734704028089,0.0138581294159671,0.0289958802900701
"347",0.3,18,0.1,0.75,2,1,200,0.824828980482829,0.633835099303318,0.0116780952203508,0.024163578340639
"349",0.3,18,0.1,1,0,0.5,200,0.82667794266967,0.637791605985681,0.0121876118671539,0.0250897674855983
"351",0.3,18,0.1,1,0,1,200,0.825480308814302,0.63515774689735,0.0110092232828081,0.0224380380861009
"353",0.3,18,0.1,1,1,0.5,200,0.823085531719039,0.630531531703139,0.0128348282346588,0.0268130059402839
"355",0.3,18,0.1,1,1,1,200,0.82643799497938,0.637311195309834,0.0112377000140548,0.0232647867285657
"357",0.3,18,0.1,1,2,0.5,200,0.820893635882187,0.625855460622744,0.0136803445344269,0.0278998858428937
"359",0.3,18,0.1,1,2,1,200,0.825752408701015,0.635984992484481,0.0120646830659009,0.0248053406105429
"505",1,18,0,0.75,0,0.5,200,0.80542927116889,0.592416564719916,0.0124409981786887,0.0257612446801663
"507",1,18,0,0.75,0,1,200,0.822092745191441,0.627759097317831,0.0122933302340689,0.0254384810894657
"509",1,18,0,0.75,1,0.5,200,0.792184670044951,0.567044717907893,0.0142211614103144,0.0299084509822691
"511",1,18,0,0.75,1,1,200,0.816719956633921,0.617468214646147,0.0137924128686699,0.0289245082800424
"513",1,18,0,0.75,2,0.5,200,0.786331106931139,0.554328741983092,0.0119040312091459,0.0247716630264265
